epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,45.2899,0.97616,1.37867,1.36477,0.86222,0.38624,0.54961,0.24513,1.83244,2.30952,1.46759,1.90949e-05,1.90949e-05,1.90949e-05
83,45.7231,0.59168,0.6033,1.04981,0.86222,0.38624,0.54961,0.24513,1.83244,2.30952,1.46759,1.83646e-05,1.83646e-05,1.83646e-05
84,46.1723,0.76829,0.86136,1.31201,0.86278,0.38578,0.5497,0.24551,1.79669,2.29686,1.45237,1.76107e-05,1.76107e-05,1.76107e-05
85,46.6188,0.92815,0.76868,1.36779,0.86278,0.38578,0.5497,0.24551,1.79669,2.29686,1.45237,1.68333e-05,1.68333e-05,1.68333e-05
86,47.0415,0.73807,0.95671,1.253,0.86278,0.38578,0.5497,0.24551,1.79669,2.29686,1.45237,1.60323e-05,1.60323e-05,1.60323e-05
87,47.4647,0.7994,0.93465,1.18416,0.86278,0.38578,0.5497,0.24551,1.79669,2.29686,1.45237,1.52077e-05,1.52077e-05,1.52077e-05
88,47.9377,0.60557,0.56532,1.0069,0.87426,0.39384,0.52937,0.23238,1.80327,2.31261,1.45572,1.43596e-05,1.43596e-05,1.43596e-05
89,48.4104,1.62312,2.36565,1.79814,0.87426,0.39384,0.52937,0.23238,1.80327,2.31261,1.45572,1.34879e-05,1.34879e-05,1.34879e-05
90,48.8677,0.65994,0.63036,1.12814,0.87426,0.39384,0.52937,0.23238,1.80327,2.31261,1.45572,1.25927e-05,1.25927e-05,1.25927e-05
91,53.314,0.51242,0.59664,1.03687,0.87426,0.39384,0.52937,0.23238,1.80327,2.31261,1.45572,1.16739e-05,1.16739e-05,1.16739e-05
92,53.8576,0.45425,0.52499,0.84833,0.87413,0.39743,0.52772,0.23165,1.79748,2.32616,1.4604,1.07315e-05,1.07315e-05,1.07315e-05
93,54.3302,0.514,0.55228,0.97217,0.87413,0.39743,0.52772,0.23165,1.79748,2.32616,1.4604,9.76562e-06,9.76562e-06,9.76562e-06
94,54.7794,0.63232,0.63432,1.11101,0.87413,0.39743,0.52772,0.23165,1.79748,2.32616,1.4604,8.77613e-06,8.77613e-06,8.77613e-06
95,55.2638,0.53975,0.66706,1.06245,0.87413,0.39743,0.52772,0.23165,1.79748,2.32616,1.4604,7.76308e-06,7.76308e-06,7.76308e-06
96,55.7401,0.83522,0.78179,1.26707,0.70736,0.40406,0.53369,0.2328,1.71241,2.20699,1.42959,6.72648e-06,6.72648e-06,6.72648e-06
97,56.1694,0.52865,0.5496,0.89247,0.70736,0.40406,0.53369,0.2328,1.71241,2.20699,1.42959,5.6663e-06,5.6663e-06,5.6663e-06
98,56.6497,0.56028,0.61226,1.01147,0.70736,0.40406,0.53369,0.2328,1.71241,2.20699,1.42959,4.58257e-06,4.58257e-06,4.58257e-06
99,57.1106,0.56706,0.52955,1.05257,0.70736,0.40406,0.53369,0.2328,1.71241,2.20699,1.42959,3.47528e-06,3.47528e-06,3.47528e-06
100,57.6045,0.47416,0.5133,0.95593,0.68349,0.48333,0.52904,0.25084,1.69074,2.12381,1.42136,2.34442e-06,2.34442e-06,2.34442e-06
